categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
mammal bird,wn_hypernym,0.2656265104,-,True,-,whistler,whistler,4462,True,True,3,0,5,0.46153846153846156,0.5426169003410383,,,conc-n,,,,lay_eggs,whistler
bird,wn_hypernym,0.306851598,-,True,-,gobbler,gobbler,113,True,True,2,0,2,0.48,0.48,mon,,conc,,,,lay_eggs,gobbler
bird,wn_hypernym,0.2777598886,-,True,-,nutcracker,nutcracker,2044,True,True,1,0,3,0.32,0.514074074074074,mon,,conc,,,,lay_eggs,nutcracker
bird,wn_hypernym,0.2980852828,-,True,-,guinea,guinea,43309,True,True,1,0,4,0.08695652173913043,0.22648953301127214,poly,,abs-conc-n,,,,lay_eggs,guinea
bird,wn_hypernym,0.2882811908,-,True,-,chick,chick,6826,True,True,2,0,2,0.5714285714285714,0.5714285714285714,poly,,conc,,,,lay_eggs,chick
bird,wn_hypernym,0.3004440692,-,True,-,amazon,amazon,20447,True,True,2,0,4,0.09090909090909091,0.22798305925240905,mon,,abs-conc-n,,,,lay_eggs,amazon
bird,wn_hypernym,0.2945884916,-,True,-,squab,squab,171,True,True,2,0,4,0.17391304347826086,0.23130434782608697,mon,,conc,,,,lay_eggs,squab
bird,wn_hypernym,0.2646876984,-,True,-,cockerel,cockerel,437,True,True,0,0,1,1.0,1.0,mon,,conc,,,,lay_eggs,cockerel
bird,wn_hypernym,0.2851522816,-,True,-,cygnet,cygnet,512,True,True,0,0,1,0.9230769230769231,0.9230769230769231,mon,,conc,,,,lay_eggs,cygnet
bird,wn_hypernym,0.286093996,-,True,-,guan,guan,3844,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,guan
bird,wn_hypernym,0.3010212759,-,True,-,dodo,dodo,1497,True,True,1,0,2,0.5217391304347826,0.5217391304347826,poly,,conc,,,,lay_eggs,dodo
bird,wn_hypernym,0.2993633546,-,True,-,kiwi,kiwi,2758,True,True,2,0,4,0.34782608695652173,0.47954008869340675,poly,,conc,,,,lay_eggs,kiwi
bird,wn_hypernym,0.3093650175,-,True,-,rooster,rooster,4014,True,True,0,0,1,1.0,1.0,mon,,conc,,385,,lay_eggs,rooster
bird,wn_hypernym,0.3172005104,-,True,-,duckling,duckling,722,True,True,1,0,2,0.16,0.16,poly,,conc,,,,lay_eggs,duckling
bird,wn_hypernym,0.2931306689,-,True,-,argus,argus,4194,True,True,1,0,2,0.09090909090909091,0.09090909090909091,,,abs-conc,,,,lay_eggs,argus
bird,wn_hypernym,0.2836749174,-,True,-,redhead,redhead,1073,True,True,2,0,3,0.5217391304347826,0.6024844720496895,mon,,conc,,,,lay_eggs,redhead
bird does_lay_eggs,cslb_crowd_pos wn_hypernym,0.3020480756,-,True,-,canary,canary,9911,True,True,2,0,5,0.08695652173913043,0.2964987139411692,homonyms_only_different_pos,,abs-conc,577,411,,lay_eggs,canary
bird,wn_hypernym,0.3149819236,-,True,-,trumpeter,trumpeter,5262,True,True,2,0,4,0.5,0.5768434464086638,,,conc,,,,lay_eggs,trumpeter
